# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	14168	15298	+					dnaJ		ECMDS42_0015	1131		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	14168	15298	+	BAL37335.1			chaperone Hsp40, co-chaperone with DnaK	dnaJ		ECMDS42_0015	1131	376	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	15640	15903	-					rpsT		ECMDS42_0016	264		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	15640	15903	-	BAL37336.1			30S ribosomal subunit protein S20	rpsT		ECMDS42_0016	264	87	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	16006	16224	+					yaaY		ECMDS42_0017	219		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	16006	16224	+	BAL37337.1			predicted protein	yaaY		ECMDS42_0017	219	72	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	16232	17173	+					ribF		ECMDS42_0018	942		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	16232	17173	+	BAL37338.1			bifunctional riboflavin kinase/FAD synthetase	ribF		ECMDS42_0018	942	313	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	17216	20032	+					ileS		ECMDS42_0019	2817		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	17216	20032	+	BAL37339.1			isoleucyl-tRNA synthetase	ileS		ECMDS42_0019	2817	938	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	20032	20526	+					lspA		ECMDS42_0020	495		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	20032	20526	+	BAL37340.1			prolipoprotein signal peptidase	lspA		ECMDS42_0020	495	164	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	20651	21100	+					fkpB		ECMDS42_0021	450		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	20651	21100	+	BAL37341.1			FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	fkpB		ECMDS42_0021	450	149	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	21102	22052	+					ispH		ECMDS42_0022	951		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	21102	22052	+	BAL37342.1			1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	ispH		ECMDS42_0022	951	316	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	22118	23032	+					rihC		ECMDS42_0023	915		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	22118	23032	+	BAL37343.1			ribonucleoside hydrolase 3	rihC		ECMDS42_0023	915	304	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	23199	24020	+					dapB		ECMDS42_0024	822		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	23199	24020	+	BAL37344.1			dihydrodipicolinate reductase	dapB		ECMDS42_0024	822	273	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	24476	25624	+					carA		ECMDS42_0025	1149		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	24476	25624	+	BAL37345.1			carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	carA		ECMDS42_0025	1149	382	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	25642	28863	+					carB		ECMDS42_0026	3222		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	25642	28863	+	BAL37346.1			carbamoyl-phosphate synthase large subunit	carB		ECMDS42_0026	3222	1073	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	29125	29520	+					caiF		ECMDS42_0027	396		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	29125	29520	+	BAL37347.1			DNA-binding transcriptional activator	caiF		ECMDS42_0027	396	131	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	29606	30196	-					caiE		ECMDS42_0028	591		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	29606	30196	-	BAL37348.1			predicted acyl transferase	caiE		ECMDS42_0028	591	196	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	30202	31095	-					caiD		ECMDS42_0029	894		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	30202	31095	-	BAL37349.1			crotonobetainyl CoA hydratase	caiD		ECMDS42_0029	894	297	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	31096	32664	-					caiC		ECMDS42_0030	1569		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	31096	32664	-	BAL37350.1			predicted crotonobetaine CoA ligase:carnitine CoA ligase	caiC		ECMDS42_0030	1569	522	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	32723	33940	-					caiB		ECMDS42_0031	1218		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	32723	33940	-	BAL37351.1			crotonobetainyl CoA:carnitine CoA transferase	caiB		ECMDS42_0031	1218	405	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	34069	35211	-					caiA		ECMDS42_0032	1143		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	34069	35211	-	BAL37352.1			crotonobetaine reductase subunit II, FAD-binding	caiA		ECMDS42_0032	1143	380	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	35242	36756	-					caiT		ECMDS42_0033	1515		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	35242	36756	-	BAL37353.1			predicted transporter	caiT		ECMDS42_0033	1515	504	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	37228	37998	+					fixA		ECMDS42_0034	771		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	37228	37998	+	BAL37354.1			predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	fixA		ECMDS42_0034	771	256	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	38013	38954	+					fixB		ECMDS42_0035	942		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	38013	38954	+	BAL37355.1			predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	fixB		ECMDS42_0035	942	313	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	39005	40291	+					fixC		ECMDS42_0036	1287		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	39005	40291	+	BAL37356.1			predicted oxidoreductase, FAD/NAD(P)-binding domain	fixC		ECMDS42_0036	1287	428	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	40288	40575	+					fixX		ECMDS42_0037	288		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	40288	40575	+	BAL37357.1			predicted 4Fe-4S ferredoxin-type protein	fixX		ECMDS42_0037	288	95	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	40632	41963	+					yaaU		ECMDS42_0038	1332		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	40632	41963	+	BAL37358.1			predicted transporter	yaaU		ECMDS42_0038	1332	443	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	42071	42601	+					kefF		ECMDS42_0039	531		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	42071	42601	+	BAL37359.1			flavoprotein subunit for the KefC potassium efflux system	kefF		ECMDS42_0039	531	176	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	42594	44456	+					kefC		ECMDS42_0040	1863		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	42594	44456	+	BAL37360.1			potassium:proton antiporter	kefC		ECMDS42_0040	1863	620	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	44648	45127	+					folA		ECMDS42_0041	480		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	44648	45127	+	BAL37361.1			dihydrofolate reductase	folA		ECMDS42_0041	480	159	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	45205	46047	-					apaH		ECMDS42_0042	843		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	45205	46047	-	BAL37362.1			diadenosine tetraphosphatase	apaH		ECMDS42_0042	843	280	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	46054	46431	-					apaG		ECMDS42_0043	378		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	46054	46431	-	BAL37363.1			hypothetical protein	apaG		ECMDS42_0043	378	125	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	46434	47255	-					ksgA		ECMDS42_0044	822		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	46434	47255	-	BAL37364.1			S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	ksgA		ECMDS42_0044	822	273	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	47252	48241	-					pdxA		ECMDS42_0045	990		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	47252	48241	-	BAL37365.1			4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	pdxA		ECMDS42_0045	990	329	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	48241	49527	-					surA		ECMDS42_0046	1287		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	48241	49527	-	BAL37366.1			peptidyl-prolyl cis-trans isomerase	surA		ECMDS42_0046	1287	428	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	49580	51934	-					imp		ECMDS42_0047	2355		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	49580	51934	-	BAL37367.1			exported protein required for envelope biosynthesis and integrity	imp		ECMDS42_0047	2355	784	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	52189	53004	+					djlA		ECMDS42_0048	816		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	52189	53004	+	BAL37368.1			DnaJ-like protein, membrane anchored	djlA		ECMDS42_0048	816	271	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	53299	53949	+					yabP		ECMDS42_0049	651		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	53299	53949	+	BAL37369.1			predicted protein	yabP		ECMDS42_0049	651	216	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	53946	54104	+					yabQ		ECMDS42_0050	159		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	53946	54104	+	BAL37370.1			predicted protein	yabQ		ECMDS42_0050	159	52	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	54512	55171	-					rluA		ECMDS42_0051	660		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	54512	55171	-	BAL37371.1			pseudouridine synthase for 23S rRNA and tRNAphe	rluA		ECMDS42_0051	660	219	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	55183	58089	-					hepA		ECMDS42_0052	2907		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	55183	58089	-	BAL37372.1				hepA		ECMDS42_0052	2907	968	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	58254	60605	-					polB		ECMDS42_0053	2352		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	58254	60605	-	BAL37373.1			DNA polymerase II	polB		ECMDS42_0053	2352	783	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	60680	61375	-					araD		ECMDS42_0054	696		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	60680	61375	-	BAL37374.1			L-ribulose-5-phosphate 4-epimerase	araD		ECMDS42_0054	696	231	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	61660	63162	-					araA		ECMDS42_0055	1503		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	61660	63162	-	BAL37375.1			L-arabinose isomerase	araA		ECMDS42_0055	1503	500	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	63173	64873	-					araB		ECMDS42_0056	1701		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	63173	64873	-	BAL37376.1			L-ribulokinase	araB		ECMDS42_0056	1701	566	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	65212	66090	+					araC		ECMDS42_0057	879		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	65212	66090	+	BAL37377.1			DNA-binding transcriptional dual regulator	araC		ECMDS42_0057	879	292	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	66176	66940	+					yabI		ECMDS42_0058	765		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	66176	66940	+	BAL37378.1			conserved inner membrane protein	yabI		ECMDS42_0058	765	254	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	67054	67752	-					thiQ		ECMDS42_0059	699		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	67054	67752	-	BAL37379.1			thiamin transporter subunit	thiQ		ECMDS42_0059	699	232	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	67736	69346	-					thiP		ECMDS42_0060	1611		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	67736	69346	-	BAL37380.1			fused subunits of thiamin transporter	thiP		ECMDS42_0060	1611	536	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	69322	70305	-					tbpA		ECMDS42_0061	984		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	69322	70305	-	BAL37381.1			thiamin transporter subunit	tbpA		ECMDS42_0061	984	327	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	70469	72124	-					sgrR		ECMDS42_0062	1656		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	70469	72124	-	BAL37382.1			DNA-binding transcriptional regulator	sgrR		ECMDS42_0062	1656	551	
gene	misc_RNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	72192	72418	+					sgrS		ECMDS42_0063	227		
misc_RNA		GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	72192	72418	+					sgrS		ECMDS42_0063	227		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	72446	73624	+					setA		ECMDS42_0064	1179		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	72446	73624	+	BAL37383.1			broad specificity sugar efflux system	setA		ECMDS42_0064	1179	392	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	73673	74278	-					leuD		ECMDS42_0065	606		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	73673	74278	-	BAL37384.1			3-isopropylmalate isomerase subunit	leuD		ECMDS42_0065	606	201	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	74289	75689	-					leuC		ECMDS42_0066	1401		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	74289	75689	-	BAL37385.1			3-isopropylmalate isomerase subunit, dehydratase component	leuC		ECMDS42_0066	1401	466	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	75692	76783	-					leuB		ECMDS42_0067	1092		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	75692	76783	-	BAL37386.1			3-isopropylmalate dehydrogenase	leuB		ECMDS42_0067	1092	363	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	76783	78354	-					leuA		ECMDS42_0068	1572		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	76783	78354	-	BAL37387.1			2-isopropylmalate synthase	leuA		ECMDS42_0068	1572	523	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	78447	78533	-					leuL		ECMDS42_0069	87		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	78447	78533	-	BAL37388.1			leu operon leader peptide	leuL		ECMDS42_0069	87	28	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	79193	80137	+					leuO		ECMDS42_0070	945		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	79193	80137	+	BAL37389.1			DNA-binding transcriptional activator	leuO		ECMDS42_0070	945	314	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	80455	82179	+					ilvI		ECMDS42_0071	1725		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	80455	82179	+	BAL37390.1			acetolactate synthase III, large subunit	ilvI		ECMDS42_0071	1725	574	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	82182	82673	+					ilvH		ECMDS42_0072	492		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	82182	82673	+	BAL37391.1			acetolactate synthase III, thiamin-dependent, small subunit	ilvH		ECMDS42_0072	492	163	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	82853	83857	+					fruR		ECMDS42_0073	1005		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	82853	83857	+	BAL37392.1			DNA-binding transcriptional dual regulator	fruR		ECMDS42_0073	1005	334	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	84459	84917	+					mraZ		ECMDS42_0074	459		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	84459	84917	+	BAL37393.1			conserved protein	mraZ		ECMDS42_0074	459	152	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	84919	85860	+					mraW		ECMDS42_0075	942		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	84919	85860	+	BAL37394.1			S-adenosyl-dependent methyltransferase activity on membrane-located substrates	mraW		ECMDS42_0075	942	313	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	85857	86222	+					ftsL		ECMDS42_0076	366		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	85857	86222	+	BAL37395.1			membrane bound cell division protein at septum containing leucine zipper motif	ftsL		ECMDS42_0076	366	121	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	86238	88004	+					ftsI		ECMDS42_0077	1767		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	86238	88004	+	BAL37396.1			transpeptidase	ftsI		ECMDS42_0077	1767	588	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	87991	89478	+					murE		ECMDS42_0078	1488		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	87991	89478	+	BAL37397.1			UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	murE		ECMDS42_0078	1488	495	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	89475	90833	+					murF		ECMDS42_0079	1359		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	89475	90833	+	BAL37398.1			UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	murF		ECMDS42_0079	1359	452	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	90827	91909	+					mraY		ECMDS42_0080	1083		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	90827	91909	+	BAL37399.1			phospho-N-acetylmuramoyl-pentapeptide transferase	mraY		ECMDS42_0080	1083	360	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	91912	93228	+					murD		ECMDS42_0081	1317		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	91912	93228	+	BAL37400.1			UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	murD		ECMDS42_0081	1317	438	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	93228	94472	+					ftsW		ECMDS42_0082	1245		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	93228	94472	+	BAL37401.1			integral membrane protein	ftsW		ECMDS42_0082	1245	414	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	94469	95536	+					murG		ECMDS42_0083	1068		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	94469	95536	+	BAL37402.1			N-acetylglucosaminyl transferase	murG		ECMDS42_0083	1068	355	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	95590	97065	+					murC		ECMDS42_0084	1476		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	95590	97065	+	BAL37403.1			UDP-N-acetylmuramate:L-alanine ligase	murC		ECMDS42_0084	1476	491	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	97058	97978	+					ddlB		ECMDS42_0085	921		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	97058	97978	+	BAL37404.1			D-Alanine:D-alanine ligase	ddlB		ECMDS42_0085	921	306	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	97980	98810	+					ftsQ		ECMDS42_0086	831		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	97980	98810	+	BAL37405.1			membrane anchored protein	ftsQ		ECMDS42_0086	831	276	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	98807	100069	+					ftsA		ECMDS42_0087	1263		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	98807	100069	+	BAL37406.1			ATP-binding cell division protein	ftsA		ECMDS42_0087	1263	420	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	100130	101281	+					ftsZ		ECMDS42_0088	1152		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	100130	101281	+	BAL37407.1			GTP-binding tubulin-like cell division protein	ftsZ		ECMDS42_0088	1152	383	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	101382	102299	+					lpxC		ECMDS42_0089	918		
